pipeline,target,f1,accuracy,n_samples
Bandpower+AEC,arousal,0.888888888888889,0.8,120
Bandpower+AEC,dominance,0.9237668161434976,0.8583333333333333,120
Bandpower+AEC,valence,0.8571428571428571,0.75,120
Bandpower+Coherence,arousal,0.888888888888889,0.8,120
Bandpower+Coherence,dominance,0.9237668161434976,0.8583333333333333,120
Bandpower+Coherence,valence,0.8571428571428571,0.75,120
Bandpower+Correlation,arousal,0.888888888888889,0.8,120
Bandpower+Correlation,dominance,0.9237668161434976,0.8583333333333333,120
Bandpower+Correlation,valence,0.8571428571428571,0.75,120
Bandpower+MutualInfo,arousal,0.888888888888889,0.8,120
Bandpower+MutualInfo,dominance,0.9237668161434976,0.8583333333333333,120
Bandpower+MutualInfo,valence,0.8571428571428571,0.75,120
Bandpower+PLI,arousal,0.888888888888889,0.8,120
Bandpower+PLI,dominance,0.9237668161434976,0.8583333333333333,120
Bandpower+PLI,valence,0.8571428571428571,0.75,120
Bandpower+PLV,arousal,0.888888888888889,0.8,120
Bandpower+PLV,dominance,0.9237668161434976,0.8583333333333333,120
Bandpower+PLV,valence,0.8571428571428571,0.75,120
DifferentialEntropy+AEC,arousal,0.888888888888889,0.8,120
DifferentialEntropy+AEC,dominance,0.9237668161434976,0.8583333333333333,120
DifferentialEntropy+AEC,valence,0.8571428571428571,0.75,120
DifferentialEntropy+Coherence,arousal,0.888888888888889,0.8,120
DifferentialEntropy+Coherence,dominance,0.9237668161434976,0.8583333333333333,120
DifferentialEntropy+Coherence,valence,0.8571428571428571,0.75,120
DifferentialEntropy+Correlation,arousal,0.888888888888889,0.8,120
DifferentialEntropy+Correlation,dominance,0.9237668161434976,0.8583333333333333,120
DifferentialEntropy+Correlation,valence,0.8571428571428571,0.75,120
DifferentialEntropy+MutualInfo,arousal,0.888888888888889,0.8,120
DifferentialEntropy+MutualInfo,dominance,0.9237668161434976,0.8583333333333333,120
DifferentialEntropy+MutualInfo,valence,0.8571428571428571,0.75,120
DifferentialEntropy+PLI,arousal,0.888888888888889,0.8,120
DifferentialEntropy+PLI,dominance,0.9237668161434976,0.8583333333333333,120
DifferentialEntropy+PLI,valence,0.8571428571428571,0.75,120
DifferentialEntropy+PLV,arousal,0.888888888888889,0.8,120
DifferentialEntropy+PLV,dominance,0.9237668161434976,0.8583333333333333,120
DifferentialEntropy+PLV,valence,0.8571428571428571,0.75,120
FractalDimension+AEC,arousal,0.888888888888889,0.8,120
FractalDimension+AEC,dominance,0.9237668161434976,0.8583333333333333,120
FractalDimension+AEC,valence,0.8571428571428571,0.75,120
FractalDimension+Coherence,arousal,0.888888888888889,0.8,120
FractalDimension+Coherence,dominance,0.9237668161434976,0.8583333333333333,120
FractalDimension+Coherence,valence,0.8571428571428571,0.75,120
FractalDimension+Correlation,arousal,0.888888888888889,0.8,120
FractalDimension+Correlation,dominance,0.9237668161434976,0.8583333333333333,120
FractalDimension+Correlation,valence,0.8571428571428571,0.75,120
FractalDimension+MutualInfo,arousal,0.888888888888889,0.8,120
FractalDimension+MutualInfo,dominance,0.9237668161434976,0.8583333333333333,120
FractalDimension+MutualInfo,valence,0.8571428571428571,0.75,120
FractalDimension+PLI,arousal,0.888888888888889,0.8,120
FractalDimension+PLI,dominance,0.9237668161434976,0.8583333333333333,120
FractalDimension+PLI,valence,0.8571428571428571,0.75,120
FractalDimension+PLV,arousal,0.888888888888889,0.8,120
FractalDimension+PLV,dominance,0.9237668161434976,0.8583333333333333,120
FractalDimension+PLV,valence,0.8571428571428571,0.75,120
Hjorth+AEC,arousal,0.888888888888889,0.8,120
Hjorth+AEC,dominance,0.9237668161434976,0.8583333333333333,120
Hjorth+AEC,valence,0.8571428571428571,0.75,120
Hjorth+Coherence,arousal,0.888888888888889,0.8,120
Hjorth+Coherence,dominance,0.9237668161434976,0.8583333333333333,120
Hjorth+Coherence,valence,0.8571428571428571,0.75,120
Hjorth+Correlation,arousal,0.888888888888889,0.8,120
Hjorth+Correlation,dominance,0.9237668161434976,0.8583333333333333,120
Hjorth+Correlation,valence,0.8571428571428571,0.75,120
Hjorth+MutualInfo,arousal,0.888888888888889,0.8,120
Hjorth+MutualInfo,dominance,0.9237668161434976,0.8583333333333333,120
Hjorth+MutualInfo,valence,0.8571428571428571,0.75,120
Hjorth+PLI,arousal,0.888888888888889,0.8,120
Hjorth+PLI,dominance,0.9237668161434976,0.8583333333333333,120
